month,actual_sales,forecast_sales,period
2019-01-01,18616.431,,Train
2019-02-01,19978.814999999995,,Train
2019-03-01,51715.87499999999,,Train
2019-04-01,38750.03899999999,,Train
2019-05-01,50987.727999999996,,Train
2019-06-01,40344.53399999999,,Train
2019-07-01,39261.963,,Train
2019-08-01,31115.374299999996,,Train
2019-09-01,73410.02490000002,,Train
2019-10-01,42687.744999999995,,Train
2019-11-01,79411.96579999998,,Train
2019-12-01,78399.04299999998,,Train
2020-01-01,54763.373999999996,,Train
2020-02-01,52068.133399999984,,Train
2020-03-01,64229.3528,,Train
2020-04-01,50807.53609999999,,Train
2020-05-01,66750.11019999998,,Train
2020-06-01,69242.72569999998,,Train
2020-07-01,60077.416,79744.8274786672,Test
2020-08-01,77338.888,82645.12313053923,Test
2020-09-01,119803.65200000002,85545.41878241126,Test
2020-10-01,88896.9232,88445.71443428329,Test
2020-11-01,130960.82499999997,91346.01008615532,Test
2020-12-01,166185.84880000004,94246.30573802735,Test
